batch_size,confidence_std_kendall_results,confidence_std_spread_results,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,n_input,n_output,name,nbytes_results,rmse_results,train_rmse_results,train_time_results,verbose,alg
1024,0.0574108530575903,1.640698828913286,27.0,1.0,999.0,6,3,460,9,1,protein,184010240,2.667194356011468,1.763564884278507,125.54147069342434,0,rf
1024,0.0520629509728256,3.2179174270118245,36.0,1.0,999.0,3,3,72,9,1,protein,60216960,2.376684380026939,1.321685477538339,21.52379667013884,0,rf
1024,0.042354128020477,0.7403106414194338,74.0,1.0,999.0,33,28,537,9,1,protein,37746496,3.13168209594276,2.801837733656837,117.59266216494144,0,rf
1024,0.0294526909649936,2.1880522651794907,99.0,1.0,999.0,9,14,66,9,1,protein,17413504,2.6315140550395357,2.0558579429983213,17.128118792548776,0,rf
1024,0.0478089044012099,3.0639618601381056,47.0,1.0,999.0,2,32,169,9,1,protein,37616576,2.6254474330937567,2.090029495486617,46.92626718757674,0,rf
1024,-0.0082303000058888,0.7258897066837904,99.0,1.0,222.0,2,5,202,9,1,protein,5727104,3.1603576316699624,3.014358394892577,41.14411180885509,0,rf
1024,0.0309573096950361,0.9710100232542496,52.0,1.0,999.0,24,6,467,9,1,protein,45427264,2.918018473102904,2.639757631462873,107.0844296682626,0,rf
1024,0.0692238204791311,2.285508063907712,92.0,1.0,999.0,3,12,105,9,1,protein,50346560,2.5574964677696115,1.5903046070677784,30.06766597367823,0,rf
1024,0.0415996790818815,0.9309804217690788,31.0,1.0,991.0,4,14,210,9,1,protein,26624640,2.7495082130044075,2.1141474508164384,51.6403185389936,0,rf
1024,0.0196784069046076,1.0189821182463277,84.0,1.0,856.0,30,17,319,9,1,protein,24687040,2.954361805094556,2.773884267130065,71.30786202847958,0,rf
1024,0.0470245749860261,1.3819727873300662,5.0,1.0,999.0,16,3,691,9,1,protein,2739648,4.057318260324384,4.066251834066675,79.58415606431663,0,rf
1024,0.0546551310899592,2.439105979347741,83.0,1.0,999.0,3,7,744,9,1,protein,548294528,2.3748231511675764,1.3569510493006354,227.23618154088035,0,rf
1024,0.0072540724244127,0.6860682621880884,99.0,1.0,333.0,21,9,99,9,1,protein,4213440,3.1332331555415798,2.832378469847044,20.96364980563521,0,rf
1024,0.0499716296523897,3.1344369202513587,54.0,1.0,999.0,5,2,45,9,1,protein,21823296,2.4748536711922515,1.6602575270501596,11.298736978322268,0,rf
1024,0.0319894489724815,1.3324434444326037,36.0,1.0,999.0,12,2,459,9,1,protein,90291264,2.710030170705615,2.2342687830465997,115.25930983945727,0,rf
1024,0.0243659775478732,0.7654953325496526,99.0,1.0,999.0,22,38,436,9,1,protein,46333696,2.925823771382734,2.5909593529863013,100.89292115531862,0,rf
1024,0.0315877550441155,1.2470724857423985,46.0,1.0,999.0,8,3,456,9,1,protein,135944832,2.6331189489334283,1.968199481724237,119.7006720378995,0,rf
1024,0.0555627463714384,2.70037167607531,89.0,1.0,999.0,2,9,658,9,1,protein,435977344,2.383798401092405,1.3716674450994115,202.50090399431065,0,rf
1024,0.024393720713844,0.6992189848402449,99.0,1.0,478.0,33,6,552,9,1,protein,33738240,3.0127626731146617,2.8259825104163028,118.11413630098104,0,rf
1024,0.0282282489952036,0.8301884581455813,16.0,1.0,999.0,39,3,586,9,1,protein,34014592,3.1453414934179453,2.9029816399286186,114.72818156704308,0,rf
1024,-0.0125631081311653,0.6590956440620425,99.0,1.0,237.0,26,4,218,9,1,protein,6599296,3.1434206093802897,3.0122449983932573,46.30785244889557,0,rf
1024,0.0291562929247101,0.8708258648483358,81.0,1.0,999.0,33,7,209,9,1,protein,14666944,3.0846655666055938,2.810473343213,41.31084022670984,0,rf
1024,0.0379962991239895,2.5715765012850222,20.0,1.0,999.0,2,37,377,9,1,protein,67385920,2.7577813122614265,2.1915839477166617,100.1369788404554,0,rf
1024,0.0207981741106235,0.888837487540577,82.0,1.0,875.0,12,25,52,9,1,protein,5820672,2.789614478858168,2.340108151219313,12.392083631828427,0,rf
1024,-0.0072693387816896,0.6478237250377676,57.0,1.0,381.0,20,21,568,9,1,protein,27663872,2.9814602483528825,2.774891289865555,122.798993319273,0,rf
1024,0.0594163762975796,2.188283595249674,99.0,1.0,999.0,2,29,461,9,1,protein,112234176,2.6931927271755627,2.0215831235237807,127.16217970848083,0,rf
1024,0.0156423019573504,1.5748697837449004,99.0,1.0,999.0,15,13,541,9,1,protein,84822720,2.721254000508634,2.3743290629129463,131.83069597557187,0,rf
1024,0.0292855095390257,1.2872330848727662,74.0,1.0,999.0,16,12,422,9,1,protein,61963904,2.7892575925721133,2.4127456025930494,101.92387115210296,0,rf
