batch_size,boosting,confidence_quantile_kendall_results,confidence_quantile_spread_results,feature_fraction,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,n_input,n_output,name,nbytes_results,num_leaves,rmse_results,subsample,train_rmse_results,train_time_results,verbose,alg
1024,gbdt,0.1481951449247807,0.0325177528287318,1.0,1.6447834686824363,0.0056347637725214,95,4,784,9,1,protein,5375104,72,3.0585864441413984,0.8702272306797465,2.878071076310816,149.5340116173029,0,lgbm
1024,gbdt,0.1369090101946786,0.0411020383729366,1.0,0.3414490709695714,0.0246333507049989,-1,2,380,9,1,protein,525920,15,3.425707595187368,0.7765006929629552,3.3550453411475147,16.43465821351856,0,lgbm
1024,gbdt,0.1068724767251414,0.1091183676273998,1.0,1.51418569125643,0.0341969020405722,49,27,245,9,1,protein,1891400,81,2.795579242290762,0.9325182322016676,2.4927357327543063,49.63000003620982,0,lgbm
1024,dart,0.0971249566298183,0.2816862311023397,1.0,0.7787660454961163,0.1657374542664599,-1,42,298,9,1,protein,1842832,65,2.68329560221897,0.9864293556024188,2.258797722376762,62.467166263610125,0,lgbm
1024,gbdt,0.1044176381450618,1.3642758797459211,1.0,1.246944658545825,0.0962074228999712,93,22,163,9,1,protein,1039288,67,2.685056098117051,0.7999910106537963,2.262123104271952,26.917069191113114,0,lgbm
1024,gbdt,0.1576637952394633,0.0202405894747332,1.0,1.2168091707856956,0.0088824783464456,70,25,427,9,1,protein,959896,24,3.558527342230184,0.9550233925453564,3.5135249488155105,29.483401437290013,0,lgbm
1024,gbdt,0.1564065073216309,0.0244289738136714,1.0,1.7830889949268112,0.0174114085614268,85,16,218,9,1,protein,866768,42,3.323403597557154,0.7213043294114732,3.240966096656856,25.06498751603067,0,lgbm
1024,gbdt,0.1658030599838032,0.0111397957963092,1.0,1.366027418081793,0.0125783245831727,90,35,162,9,1,protein,410832,27,3.888700031335503,0.7691004382858192,3.8680337284581534,12.708800077438354,0,lgbm
1024,gbdt,0.0881714894144062,19.25628543798262,1.0,1.0161266135127969,0.1246972696749522,69,18,745,9,1,protein,3748840,53,2.423241028993229,0.9220809212363504,1.306365312667068,93.0885185757652,0,lgbm
1024,gbdt,0.1624279663069676,0.0252435603564034,1.0,0.327625892715774,0.0307079731769852,88,11,125,9,1,protein,677000,57,3.196977163324892,0.9279857965956216,3.0701475860297203,19.10933425743133,0,lgbm
1024,gbdt,0.1712981256656797,0.0170894464631491,1.0,0.939660468434946,0.0120167354574676,92,6,201,9,1,protein,1783272,93,3.313993220097911,0.7052117440537218,3.1734513809163105,49.19379300717264,0,lgbm
1024,dart,0.2192166150105359,1.8898309931064388,1.0,0.3353730513238919,0.0103374647078462,76,4,699,9,1,protein,4993656,75,3.4327582064215387,0.975165179730892,3.3478957086731955,206.81394699588415,0,lgbm
