batch_size,best_rmse_results,confidence_D_diagonal_kendall_results,confidence_D_diagonal_spread_results,confidence_D_entropy_kendall_results,confidence_D_entropy_spread_results,confidence_power_kendall_results,confidence_power_spread_results,confidence_std_kendall_results,confidence_std_spread_results,dropout_body,dropout_d,dropout_y,epoch,layers_body,layers_d,layers_y,load_distribution_lambda,lr,n_citizens,n_input,n_output,name,nbytes_results,power_entropy_results,rmse_results,solver,speaker_entropy_results,specialization_lambda,train_time_results,verbose,width_body,width_d,width_y,alg
1024,2.4255493789403153,0.0040370975493033,0.03743325,0.1130765102192836,0.0024806315,-0.0034056822707387,0.13556746,-0.0685558935079568,1.3590889,0.2528613899890696,0.1412318206615039,0.1794175687748349,82,1,3,2,0.9102192305905424,0.0049704562369211,12,9,1,protein,7188384,0.1058782979846,1.554328,sink_many,0.3219615995883941,0.4099155378786915,115.78667799755932,0,199,112,229,le
1024,2.204819772575798,0.0981319775281544,0.014980892,0.0892068664342133,0.12603505,0.1502445878806594,0.116101615,-0.0923933146522755,2.4507012,0.2779090110706252,0.258745828032156,0.1929828669052154,162,3,1,2,0.3637823035222373,0.0037408160798733,19,9,1,protein,3955648,0.6706064343452454,0.90535694,sink_many,0.4827229082584381,0.0,273.86592731811106,0,108,119,68,le
1024,1.606989498381195,-0.011814557964769,0.019084722,0.0842250241951564,0.013163008,-0.0214221888645733,0.065466814,-0.2138650604055593,3.2332208,0.2372775225570959,0.3301567784507046,0.1939594140958565,128,1,4,3,0.2638816844354033,0.0009572518797121,10,9,1,protein,13359360,0.1363599330186843,1.542453,sink_many,0.4478528618812561,0.5996041416556603,178.58759711496532,0,33,222,287,le
1024,2.0245118614315225,0.1525265221115032,0.026761817,0.1391597180709519,0.11662032,0.1872222089643082,0.16295764,-0.0357208973292294,2.3106627,0.215539212406649,0.2032151597615302,0.2499253952614919,172,2,2,1,0.292614926634954,0.0029254837390063,13,9,1,protein,9264008,0.5377748131752014,4.025281,sink_many,0.4212034285068512,0.0081620236614154,221.23725591041148,0,207,214,190,le
1024,1.7781797343707657,0.0576305591197722,0.02650941,0.1844028908139273,0.14955689,0.2595350920319295,0.18488848,-0.0623840382527715,2.9881964,0.3678816583667929,0.0229757537701139,0.1413780688099105,186,1,1,2,0.55182403678037,0.0049119511703341,18,9,1,protein,1305792,0.2885313510894775,7.990418,sink_many,0.23930644094944,0.0575418206256995,268.27568509057164,0,31,102,97,le
1024,2.506109949525337,0.0129696800068824,0.018759621,0.0657257100104418,0.03119713,0.17854784490157,0.07848384,0.0088437127361102,4.191177,0.3239888497819731,0.2483416000959272,0.3259251812174564,95,2,1,2,0.9676483108898862,0.0019700518591352,16,9,1,protein,6868480,0.4469196259975433,1.7097642,sink_many,0.4473055779933929,0.8848328091421057,139.48884415626526,0,288,11,52,le
1024,2.2151071769816397,0.0968979896544857,0.01368646,0.0553459329917476,0.008355828,0.0263384699170348,0.044749018,0.0068115920284403,3.9832258,0.1249465424933472,0.1054658827680257,0.0692827566768982,187,0,3,2,0.6630791324477529,0.0040454032317287,11,9,1,protein,4172740,0.0533627294003963,4.4739037,sink_many,0.344751638174057,0.3860318064531018,243.91218946129084,0,66,175,166,le
1024,2.954552871883354,0.0567793980540877,0.020875966,0.0673260412267559,0.0038251856,0.0901248036378502,0.17463686,-0.0986817482430488,1.0349549,0.2987618266850326,0.3137495064603351,0.0858863310604664,71,2,2,1,0.7064712252283002,0.0041627575105406,33,9,1,protein,10430376,0.3650368213653564,6.1533,sink_many,0.4179054439067841,0.6418949728857474,182.59487042948604,0,110,121,299,le
1024,1.828340771350746,0.01868694154393,0.023504188,0.0469238471604204,0.035934668,-0.0062765420769327,0.046511337,0.0087578261013156,9.569448,0.144733667045511,0.3982350180133365,0.014334449023433,160,1,1,2,0.398861146321196,0.0020486486037361,3,9,1,protein,2435208,0.0504945218563079,6.226938,sink_many,0.5838419198989868,0.5553472329676192,149.2470824457705,0,288,84,298,le
1024,2.6274965488529203,-0.0096321263879364,0.0074765757,0.0791180266192078,0.02317551,0.058785966895747,0.01616515,-0.1019651693905309,0.093584806,0.3266224748811333,0.1635141217556115,0.0131340165685305,130,2,2,4,0.0622483787591011,0.004545861732258,40,9,1,protein,5549280,0.0603632636368274,1.7485896,sink_many,0.1692245811223983,0.5396421522786928,500.18510764092207,0,30,148,12,le
